Presenter_SK,Obtained,EventDate,EventTime,Passed,ZiffNumber,Firstname,Middlename,Surname,Day,Temperature,PetType,CoffeeType
27,Yes,20-11-2014,,TRUE,1.524,OBA,OLIVIA<,SMALLACOMBE-SMEDLEY,Fri,45,,Milk
28,,24-03-1996,22:41:30,,1.472,GOO,JANIECK,ASLAN,Monday,11,Cat,Roasted
29,,02-09-2017,22:42:48,FALSE,1.585,SHAIN,VAEL,REHILL,Fri,30.3,Elephant,Roasted
30,Yes,08-03-2018,3:31:32,,1.659,MOHADISA,GERMAINE,HATCHES-PARKER,Monday,27.3,Elephant,Roasted
31,,07-07-1980,7:56:03,TRUE,1.453,HARUN,JEFFERY,SAROWA,Sat,28.2,Giraffe,Milk
32,,25-06-1985,22:44:52,TRUE,1.621,YINGQI,,CARDNO,Sun,2.5,Elephant,Roasted
33,,23-09-1987,8:06:19,TRUE,1.899,LEXUS,SARA-JANE,BARRIOS,Fri,6.1,Dog,Roasted
34,Yes,29-12-1989,5:41:08,TRUE,1.666,HALAYNA,,HODGES,Thurs,42.9,Snail,Medium
35,,,4:56:04,TRUE,1.673,LAICEY,MARVETT,JONATS,Sun,43,Cat,Milk
36,,03-06-1988,5:35:56,TRUE,1.226,MARTIA,STAVRO,GORDON-MIDDAP,Fri,8.4,Dog,Dark
37,,27-04-2002,22:33:33,,1.753,CALLIOPE,,OCARROLL,Wed,38.5,Giraffe,Dark
38,,,13:20:01,TRUE,1.923,NAOMI,,RIDSDALE,Wed,18.9,Giraffe,Medium
39,Yes,04-08-1985,13:05:44,FALSE,1.048,KAINATH,,SEGLINS,Sun,21.8,,Medium
40,No,19-06-2019,,FALSE,,JAZYMN,,RAND,Thurs,15.5,Dog,Dark
41,No,04-04-1982,11:14:56,TRUE,1.449,VALCAN,SIENNA-LEE,MASERO-BLAKELEY,Fri,32.7,Elephant,Milk
42,Yes,25-07-1984,3:44:35,FALSE,1.274,SELITA,,AOK,Fri,44,Dog,Dark
43,,25-12-1994,14:01:24,TRUE,1.987,NIEDRA,MATILDE,BUDDLE,Wed,6.8,Giraffe,Medium
44,,20-07-2014,3:24:45,TRUE,1.892,MORGAN,,KOMANO,Tuesday,19,Dog,Roasted
45,,29-06-1985,1:17:03,TRUE,1.276,ROJI,DAD,FILIPPONE - BRANDON,Fri,35.6,Dog,Milk
46,No,22-09-1991,14:09:06,TRUE,,OTHINKATTIL,ASEM,JAMES-LOELIGER,Wed,6.1,Snail,Medium
47,No,15-04-2007,10:12:07,TRUE,1.474,MARCIA RIT,VISHAL,NELSON-LIGTERINGEN,Thurs,20.8,Elephant,Milk
48,,09-10-2004,9:09:44,TRUE,1.466,LASHAWNA,,REESE - LOFFLER,Monday,43.8,Giraffe,Milk
49,,21-09-1991,2:39:02,TRUE,1.779,TEKAI,KAVANAGH,GODLY,Thurs,37.2,Elephant,Dark
50,Yes,06-04-1994,10:04:33,TRUE,1.675,SCARLETT,ZHUOCHENG,DACUMOS,Fri,36.9,,Medium
51,,17-01-2002,,TRUE,1.964,DRUKA,,DALLISTON,Thurs,36.1,Cat,Milk
52,No,06-02-2019,2:28:57,TRUE,1.696,BRANDON-LEE,ABDULELAAH,ARANIBAR SABAG,Tuesday,36.5,Elephant,Roasted
53,No,14-06-2019,22:52:32,TRUE,1.21,WAYAN,TERRIAH,SENSIER,Sat,10.6,Elephant,Roasted
54,Yes,23-11-1992,13:46:27,TRUE,1.632,SEVASTOULA,,PISZCZUK,Tuesday,1,Cat,Roasted
55,,19-12-1999,1:35:39,FALSE,1.359,LONI,,NTUMBA,Sun,12.3,Elephant,Dark
56,,07-07-2009,13:51:00,FALSE,1.754,NEIL,GESSY,FINLAYSON,Wed,19.7,Snail,Dark
57,,08-11-2017,11:10:20,FALSE,1.376,JEBAKUMAR,LENDA,ESTABILLO K/A GEPP,Sat,2.1,Dog,Dark
58,,12-03-2018,15:19:55,TRUE,1.267,LEONEY,NABIHAH,HUMBLE,Sun,20.8,Snail,Medium
59,,02-02-1986,19:26:50,FALSE,1.512,FIKA,,SCUTCHINGS,Fri,37.8,Giraffe,Medium
60,,16-12-2020,20:44:55,TRUE,1.944,HARPA,,NORTON-BOWIE,Wed,28.5,Cat,Roasted
61,Yes,15-05-1995,23:48:17,FALSE,1.295,MANUMAUA,LULU,KAJEMBA,Thurs,4.5,Giraffe,Milk
62,No,,5:36:10,TRUE,1.149,AARADHYA,AKIM,MAGSAYO,Sun,42.8,Snail,Medium
63,Yes,05-10-1995,17:51:10,TRUE,1.49,DINESH,,MOSKWA,Tuesday,36.3,Giraffe,
64,,,16:14:32,TRUE,1.146,NAHRAE,MANAZIR,NIMMAGADDA,Fri,39.3,Cat,Roasted
65,Yes,03-12-1987,,FALSE,,TALIESIN,ISARRA,O'CONNOR TOZER,Sun,33.6,Cat,Roasted
66,Yes,27-06-2004,16:14:31,TRUE,1.86,GILLEAN,,KRAITOR,Fri,5.8,Dog,Roasted
67,,22-07-2016,8:52:31,TRUE,1.558,THLUAI,LAMMAS,LORDE,Wed,8.6,Giraffe,Roasted
68,No,22-06-1990,10:13:59,FALSE,1.685,EIRLIW,LIXIN,PASCUA,Thurs,20.5,Cat,Dark
69,,16-12-2007,19:07:50,TRUE,1.42,TYDE,RUBY-LEE,VERGULIS,Wed,11.5,Dog,Milk
70,No,08-10-2006,23:21:01,FALSE,1.758,KENNA,SIVA,HU,Monday,22.6,,Medium
71,Yes,30-07-2011,1:33:51,TRUE,1.187,SUTIWAT,GABRIELE,HELAYEL,Thurs,27.6,,Milk
72,No,25-02-2007,23:00:46,TRUE,1.322,SARETH,EMMALISE,TOWNSHEND,Wed,12.9,,Milk
73,No,14-10-2006,15:57:23,TRUE,1.912,KHUNNARIE,MOUKHLISA,NGANDU,Wed,3.7,Cat,Dark
74,,14-09-2018,5:43:32,FALSE,1.976,CHANNING,ZHAYA,ARTHUR-WORSOP,Sun,-2.4,Snail,Roasted
75,Yes,01-02-2015,23:53:51,FALSE,1.254,JUHYEN,JASMYNE,MURRAY-VERNARI,Tuesday,27.5,Snail,Roasted
76,,19-01-2011,12:12:10,FALSE,1.359,KRISTDEN,,BECKLEY,Wed,-1.3,,Dark
77,,25-08-2017,17:19:30,FALSE,1.047,JUNHEON,JAZ-LEE,BELLETTE-JAY,Fri,44.6,Dog,Milk
78,Yes,10-04-1983,18:31:30,TRUE,1.256,MEGHDAD,,BLACKMORE-JONES,Wed,40.5,Dog,Dark
79,,11-03-2017,3:45:32,TRUE,,SYAURA,,SZEKLEY,Tuesday,5.1,Cat,Milk
80,,18-06-1999,7:16:56,FALSE,1.847,HASINDIKA,SARUNG,HANCOX,Sun,38,Giraffe,Milk
81,Yes,01-07-1987,4:55:28,FALSE,1.369,REBEL,,STABEN,Sun,10,Snail,Dark
82,No,21-05-2010,1:51:01,FALSE,1.377,KENNETH,APREL,UN,Sun,8.6,Dog,Medium
83,,05-08-1999,10:14:07,TRUE,1.678,GIULIO,FANA,,Wed,8.9,,Milk
84,,29-10-2011,13:07:55,TRUE,1.182,VEGAS,,EGAN-BROWN,Fri,21.1,Elephant,Roasted
85,,07-06-1995,4:18:58,TRUE,1.243,ANAISHA,OMA,FARIDIZAD,Thurs,31,Snail,Dark
86,,08-01-1991,12:35:17,FALSE,,FRNACIS,IRAMBONA,BUERKLE,Wed,37.2,Giraffe,Roasted
87,,12-09-1997,2:34:10,TRUE,1.756,REEDE,SHAWNELLE,CZUBA,Monday,0.7,Snail,Milk
88,No,,11:22:48,FALSE,1.433,KAY,RICO,BELCHAMBERS,Sat,23.3,,Dark
89,Yes,05-08-2016,6:54:42,TRUE,1.019,HSI,,BOTH,Tuesday,33.2,Elephant,Medium
90,,09-08-2009,7:25:28,TRUE,1.905,KASHAYA,WHITELOW,MC KIBBIN,Sun,24.2,Snail,Milk
91,,31-03-1990,2:14:10,FALSE,1.419,HOBAN,BILLY-JAMES,VIDOVICH,Sat,5.3,Cat,Medium
92,,29-12-1998,10:52:40,FALSE,1.184,OANH,,PIPALIYA,Wed,44.9,,Dark
93,No,10-04-2006,13:40:52,TRUE,,JAY-ELLE,RUJINYI,HAVAS,Monday,13.8,Snail,Dark
94,,30-11-2004,10:29:57,TRUE,1.409,MAXI,OJARA,GRODZKI,Fri,28.1,,Dark
95,Yes,,8:56:52,TRUE,1.652,CHISA,,FOCROUL,Tuesday,16,,Medium
96,Yes,24-05-1990,0:58:33,TRUE,1.086,PATUMI,KIONG,LAURIELLO,Fri,44.2,Dog,Dark
97,Yes,29-03-2007,1:12:42,FALSE,1.271,DECLAN,GURSAVIK,CONWAY HARTRIDGE,Monday,28,Giraffe,Milk
98,,21-05-2019,16:39:44,FALSE,1.251,RUBI-MARIE,,BLOUNT,Tuesday,6.5,Elephant,Milk
99,,07-02-2009,11:30:23,TRUE,1.32,LORRAINE-ANNE,,BLUE,Thurs,11.3,,Dark
100,No,31-03-1988,4:35:10,TRUE,,DELAN,ZADKIEL JIA,ATTYGALLE,Thurs,44.3,Dog,Roasted
101,,13-08-2001,14:48:55,FALSE,1.973,CEDERBERG,BRISHAN,POHLMANN,Sun,5.7,,Milk
102,,22-05-1994,23:05:09,TRUE,1.279,SUE-ELLEN,,BUTLER-ANKHBAYAR,Wed,2.8,Snail,Roasted
103,,18-01-1991,3:43:27,TRUE,1.437,LIBIN,,STIJAK,Wed,15.6,Cat,Dark
104,,30-05-1991,15:24:15,FALSE,1.667,SALOME,,COWIN,Monday,21.6,Giraffe,Dark
105,,04-12-2002,21:38:46,TRUE,1.277,LEE-ANNE,BAUMANN,MAKRAS,Fri,23.6,Cat,Roasted
106,,06-02-2009,1:52:35,,1.969,EDDIE,,KNIGHTON,Monday,-0.5,Dog,
107,,01-01-1982,0:52:32,FALSE,1.658,LYSON,MEANG,DACHAS,Tuesday,40.2,Snail,Dark
108,Yes,23-07-1992,7:17:14,FALSE,1.091,SKI-LEE,KHLOEY,BRETAG-NORRIS,Sun,44.6,,Roasted
109,No,17-07-1999,9:17:40,TRUE,1.58,JEHOVANISE,,TITASEY,Tuesday,4.5,Snail,Roasted
110,Yes,28-03-2003,21:16:57,FALSE,,HAITHAM,LETISHA,CAPOCCIA,Tuesday,-2.9,Elephant,Milk
111,,16-01-1980,16:48:15,FALSE,1.359,YAMATJI,,RAVNO,Sat,2.1,Dog,Milk
112,,29-12-2009,,FALSE,1.242,TORERE,CLIFFY,BELLIFEMINE,Wed,26.2,,Dark
113,No,28-05-1993,14:54:06,FALSE,1.773,JESSICA,,SMART,Sat,28.4,Elephant,Roasted
114,Yes,15-06-1987,22:31:56,TRUE,1.816,CAILIE,FALGUNI,DOROMBOZO,Sun,19.9,Snail,Milk
115,,18-04-1984,20:53:16,TRUE,1.435,DANILE,,BOWN,Wed,41.2,,Roasted
116,Yes,03-02-2001,15:13:13,FALSE,1.589,SASS,,RUBANGAKENE,Sat,35.2,Dog,Medium
117,No,29-11-2005,14:56:41,,1.155,JYSSIAH,,HATENBOER,Monday,2.8,Cat,Dark
118,,,18:30:47,TRUE,1.736,HUDSON,HAZIQ,TASSOTTI,Wed,34.5,Giraffe,Dark
119,,15-09-2004,14:40:42,,1.832,SHERBANU,,BEADLE-FINCH,Thurs,11,Cat,Roasted
120,Yes,26-01-2007,16:34:54,FALSE,1.454,MRUNAL,DESALEG,BAUMANIS,Tuesday,13.6,Giraffe,Medium
121,Yes,01-09-1998,16:46:12,FALSE,1.975,ASHANTE,DEMETRE,LIZARRALDE GOMEZ,Thurs,42.3,Giraffe,Milk
122,No,15-09-1988,11:18:51,,1.947,ZYLA,,CRAIK,Tuesday,25.3,Cat,Milk
123,,,11:28:59,TRUE,,AYOT,RANEE,MANOJLOVIC,Sun,-3,Giraffe,Milk
124,,27-04-1989,9:23:26,FALSE,1.87,AFFIF,VIRAG,,Sat,37.9,Cat,Medium
125,,30-12-1984,9:02:30,FALSE,1.45,JUNRAN,KONAMI,TOPHAM,Thurs,43.8,Snail,Roasted
126,,18-03-2014,23:39:40,FALSE,1.685,RADJABU,,XXX JONES,Wed,14.4,Dog,Milk
127,,20-05-1996,6:41:24,FALSE,1.038,LILLY-MAI,MARELLA,HENKENS,Monday,-1.1,Giraffe,Dark
128,,26-05-2019,17:50:20,FALSE,1.004,LUNA,,CUTRALE,Sun,40.4,Dog,Roasted
129,Yes,11-11-2003,22:05:25,FALSE,1.916,HANIFAH,KALARNIE,VAN DOORN,Fri,5.6,Elephant,Milk
130,,,12:03:53,FALSE,1.24,KRISTELLA,,,Sat,11,Snail,Dark
131,No,19-08-2000,13:56:12,TRUE,1.621,FI,,COOMBS-THOMSON THOMSON,Thurs,6.3,Snail,Dark
132,,10-11-2020,15:24:10,FALSE,1.685,CALLIA,,DOW ELLISON,Sun,45.1,Dog,Milk
133,,17-07-2000,7:15:10,,,SARANTI,LOUIE,NAKAI,Wed,11.7,Dog,Milk
134,No,23-04-2012,7:35:51,TRUE,,ZAELI,DANIJELA,AHMADI-DEHABADI,Tuesday,37.2,Cat,Medium
135,No,18-02-1984,18:29:32,,1.004,TONYA,SARAIYA,PATER,Wed,22.6,,Medium
136,,11-01-2020,,,1.748,OLWEN,ISADORA,HAPROV,Sun,25.4,Cat,Dark
137,,19-05-2005,2:54:02,TRUE,1.002,BANJO,,REDSHAW,Fri,10.2,Cat,Roasted
138,No,29-02-1984,9:18:42,FALSE,1.119,CRYSTAL,KAYANN,FORGIONE,Thurs,32.7,Giraffe,Roasted
139,Yes,16-07-2006,23:54:12,FALSE,,TUGULDUR,,LODGE,Thurs,28.7,Giraffe,Milk
140,No,22-10-2015,13:44:33,TRUE,1.121,MABEL,,NETHERWOOD,Monday,36,Dog,Roasted
141,,30-07-2011,4:57:32,TRUE,1.77,NAYOAH,,FOULKES,Monday,36.9,Cat,Dark
142,,07-12-2003,15:35:23,FALSE,1.498,KENOLI,BERO,HIGHFOLD-HERON,Sun,21.5,Dog,Roasted
143,Yes,28-04-2006,0:23:43,FALSE,1.816,DAENERYS,JAIIMEETA,HEVA RAMANAYAKAGE,Sat,36.3,Dog,Medium
144,,14-03-1999,12:38:23,FALSE,1.495,JESSI-JADE,AZAYLA,HAJ ISMAEL,Sun,43.5,Cat,Milk
145,Yes,24-01-1991,17:47:39,TRUE,,PRATIMAN,,DITTON,Tuesday,22.8,Cat,Medium
146,,06-03-1999,10:03:36,TRUE,1.581,KSHAMA,TANWEERALI,KUNZEL,Monday,22.9,,Dark
147,No,01-02-2001,19:09:17,FALSE,1.28,SIDDHESH,MUNTAZIR,BAALMANN,Wed,34.7,Cat,Milk
148,No,10-03-2001,19:56:15,,1.213,PHILLIPA,,CAIRNCROSS,Thurs,21.4,Snail,Dark
149,,24-04-2004,18:18:34,TRUE,1.982,BOBBI,,THINAGHARAN,Sun,9,Giraffe,Milk
150,,15-06-1994,15:37:19,TRUE,1.481,TAVIEN,KAHLID,GELLY,Monday,6.5,Dog,Dark
151,No,10-11-1980,23:15:48,FALSE,,THARINDI,,KENNEDY-MURPHY,Fri,42.7,Snail,Milk
152,Yes,26-09-2012,10:20:11,TRUE,1.879,RUIQI,GAVINJOT,IMRIE,Wed,12.3,Cat,Roasted
153,No,06-05-2004,22:58:27,FALSE,1.772,KWOK,BINIYAM,PENDO,Wed,0.3,Elephant,Milk
154,No,23-10-1989,23:27:06,,1.622,NAWED,,ELLIOTT-WILLIAMS,Sun,24.4,Cat,Medium
155,No,27-05-1984,19:33:34,TRUE,1.064,ELIZAEBTH,ROMANE,SCHJENKEN,Tuesday,3.7,,Milk
156,No,05-10-2010,2:38:13,FALSE,1.126,ISABELLE,TEMPRENCE,TALIOURIDIS,Wed,16.3,Dog,Roasted
157,Yes,02-07-1995,15:18:21,TRUE,1.423,TONGZHOU,BONGKOCHMAS,SAYAKKARA KANKANAMGE,Tuesday,29.1,Dog,Medium
158,,14-01-2009,22:20:29,FALSE,1.787,MATALA,VESTEY,GLANCY,Fri,1.9,Cat,Roasted
159,,06-11-2008,0:26:18,FALSE,,BRAIDY,MIKISHA,WILDER,Wed,28,Elephant,
160,Yes,23-06-1981,,FALSE,1.07,CHUCHU,,FOLINO,Fri,30,Giraffe,Milk
161,,26-01-1987,,TRUE,,YUECHU,YASHODA,PARONIS-SPISSO,Sat,27.2,Elephant,Roasted
162,,22-12-2014,2:21:30,TRUE,1.996,KAYVAN,FREER,KUZNETSOV,Monday,38.8,Snail,Dark
163,,05-12-2019,0:35:54,TRUE,1.336,LEANDER,ELWYN,DEBROWSKI,Fri,-0.4,,Medium
164,,06-04-2015,14:23:02,,1.865,CASSANDRA,ZILING,PUNTAR-LYONS,Fri,18.6,Snail,Milk
165,,05-06-1990,13:20:14,FALSE,1.061,TERONE,ANDRIAS,KAO,Wed,8.4,Cat,Medium
166,Yes,,21:59:43,TRUE,1.557,SATI,WOO-HYEONG,AYGALENQ,Wed,2.5,Elephant,Milk
167,,25-03-2005,5:33:32,TRUE,1.339,KEILIE,CAYLEB,BRINSLEY-HAWES,Monday,1.4,,Dark
168,,24-10-1993,6:52:45,FALSE,1.774,BACHAR,,,Sun,-2.4,Cat,Roasted
169,,,4:12:19,FALSE,,SHAMINI,ROZE,TWAGIRAMANA,Tuesday,0.1,Elephant,Medium
170,Yes,30-07-2014,0:37:50,FALSE,,KATIAH,,MOLLER,Sat,29.1,Giraffe,Roasted
171,,14-10-1999,,FALSE,1.047,TAMIKA-TARA,DAWSON,HAEN,Sun,4.6,Cat,Medium
172,Yes,15-01-1992,15:49:44,TRUE,,NAKHITA,,BUDDY,Wed,40,,Dark
173,,09-04-1992,,FALSE,,TAVIEN,RUJENICA,KASHANI,Tuesday,16.8,Snail,Medium
174,,10-09-2008,19:10:50,,,JUGURTA,YIN,HORSTMANN,Thurs,39.6,Cat,Roasted
175,No,06-06-1990,21:51:34,FALSE,1.698,JAYOM,VALERYEVITCH,DIBRINO,Fri,35.7,Elephant,Dark
176,,07-12-2002,0:55:50,TRUE,1.326,LAELA,ITAMAR,PIPPOS,Wed,39.9,,Milk
177,,27-07-2013,0:45:17,TRUE,1.166,TAHNI,,SAJ,Tuesday,22.8,Snail,Medium
178,,24-11-2006,22:26:00,TRUE,1.534,ROYALLING,REWAI,NA,Sat,18,,Roasted
179,,16-10-2020,3:19:04,TRUE,1.139,CAYLEY,YAIR,ASHBY,Fri,16.4,Snail,Milk
180,,04-01-1992,20:52:41,TRUE,1.048,ADONYA,INDIEROSE,CECE,Wed,6.4,Giraffe,Dark
181,Yes,03-08-1993,18:54:19,FALSE,,DONTEY,,XENIDES,Thurs,17.9,Giraffe,Medium
182,Yes,06-08-2011,8:58:22,FALSE,1.738,KHIARRA,,DILDAR,Sun,6.3,Cat,Milk
183,,20-05-1998,19:45:32,TRUE,1.83,RAYNEE,,RUDGE,Fri,31.3,Snail,Dark
184,Yes,18-11-2009,16:00:44,,1.457,ABIKALE,,RAYSON,Sun,28.7,Snail,Milk
185,Yes,02-07-1985,18:14:28,TRUE,1.137,LISET,,CLUDERAY,Monday,-3.1,Giraffe,Roasted
186,,24-09-2004,8:41:10,TRUE,1.46,BHAKTA,,,Monday,41.9,Dog,Dark
187,,30-03-2002,16:42:30,FALSE,1.855,KIRPHELIA,TESFAUN,GLOCKE,Wed,13.7,Cat,Roasted
188,Yes,28-11-2012,6:25:50,FALSE,1.542,LEANNE,,MUNRO-SCHNEIDER,Thurs,17.3,Giraffe,Medium
189,Yes,24-07-2004,13:50:17,TRUE,1.724,MINSEO,KAHLYA,,Tuesday,2.5,Snail,Medium
190,,14-05-2020,23:13:13,FALSE,1.808,TERASE,,CAVALIER,Tuesday,43.8,Snail,Milk
191,,12-07-2008,6:02:43,TRUE,1.319,IRAKOZE,,DEVANAND NAIR,Monday,27.1,Cat,Medium
192,Yes,,6:00:17,TRUE,1.313,EMER,,LANGES,Tuesday,36.5,Cat,Roasted
193,Yes,03-12-1985,0:26:31,FALSE,1.339,LORRIN,,WEATHERALD,Tuesday,19.1,Dog,Medium
194,No,23-10-2009,6:24:40,FALSE,1.411,EARL,,NITUNGA,Fri,44.1,Dog,Roasted
195,Yes,04-02-2016,1:05:28,FALSE,1.736,ALLYRA,TAYMOR,NOURSE,Sat,28.6,,Milk
196,,22-08-2012,2:33:04,FALSE,,FATIMIA,,RORISON,Tuesday,29.9,Giraffe,Milk
197,Yes,03-05-2001,5:02:10,TRUE,1.933,ZINAR,HANYI,CREMER,Sat,5,Cat,Milk
198,,,16:03:33,FALSE,1.496,DARRAD,SAMIR,SHEPHARD,Tuesday,23.2,,Milk
199,,03-11-2005,0:59:17,,1.997,ELLIA,KAIREL,FERNANDES,Fri,11.2,,Dark
200,,08-02-2012,2:17:19,TRUE,1.229,SANTINE,ELWOOD,SABBA,Monday,21.2,Dog,Milk
201,,04-09-1990,17:43:14,TRUE,1.409,CHRISDEEP,ROSELYN,GRAHAM-MANNION,Thurs,5.9,,Medium
202,Yes,10-08-2013,11:50:16,FALSE,1.378,SEE OID,EILISHA,KLOOSTERMAN,Tuesday,12.5,Giraffe,Medium
203,No,04-07-1982,18:14:20,TRUE,1.944,KENDEE,,LAINE,Thurs,8.1,Snail,Roasted
204,Yes,17-10-2005,13:23:50,TRUE,1.145,MIH,,TINI,Sat,39,Snail,Roasted
205,No,10-10-1997,13:14:35,TRUE,,WHITELAW,YIOTA,REINDERS,Fri,21.5,Cat,Medium
206,No,07-07-1986,7:00:14,FALSE,1.566,FATHIMA,XINLE,BENDON,Tuesday,-0.7,Cat,Dark
207,,14-07-1988,15:01:48,TRUE,1.229,MERINA,YOOGYUNG,SCHUHMACHER,Sat,18.5,,Dark
208,,06-08-2007,16:13:01,TRUE,1.663,KADIJAT,JETASONI,BAMPTON,Wed,23.4,Giraffe,Roasted
209,,10-09-2004,23:26:38,FALSE,1.882,HARVEY,TAIBAH,FAQIRI,Fri,22.5,Giraffe,Dark
210,No,26-03-2015,4:35:35,FALSE,1.249,FAIDA,GWENETH,KALLINIKAS,Sat,44.1,,Dark
211,,07-04-2017,16:36:26,FALSE,1.425,SHAHAB,MARGARE,SHAHEEN,Monday,30.5,Snail,Milk
212,No,14-12-2005,,FALSE,1.837,THUY LINH,MATESO,HEDDITCH,Fri,11.8,Dog,Dark
213,,25-10-1999,10:08:22,TRUE,1.252,ROSS WARREN,DOROTHY,PLEASANCE,Thurs,29.1,Cat,Medium
214,,13-05-2012,5:32:20,TRUE,,DANIELLA,POOLE,MCINTOSH-WHITEHOUSE,Fri,6.6,Cat,Dark
215,,17-01-1982,2:12:16,,1.178,REXELDA,WRIGHT,PRIDHAM,Sat,31.9,,Medium
216,No,09-09-2003,,TRUE,,BORRICE,SIHYUN,BASKARAN RAJESH,Wed,40.7,,Medium
217,No,14-12-2000,1:48:24,TRUE,1.022,YSABELLE,TAIBAH,SCHLOITHE,Sun,15,Dog,Dark
218,No,,16:21:50,TRUE,1.616,TELLA,TOBIN,BUNTU,Wed,33,Dog,Dark
219,Yes,05-03-1983,19:03:18,FALSE,,YAOZU,,CHILAKAMARRI,Monday,9.2,Snail,Dark
220,Yes,16-08-2005,7:39:18,,1.314,JATORI,,PILLER,Sun,25.8,Snail,Milk
221,No,01-08-2000,15:42:03,FALSE,1.326,TEALE,,SLADE,Sat,15.2,Elephant,Medium
222,Yes,28-06-1982,19:56:02,,1.075,MARNETTE,MAYAH,PENS,Sun,12.8,Snail,Milk
223,,30-01-1991,,TRUE,1.106,TREI,MIKHAELA,DOMONEY,Monday,6.8,Elephant,Dark
224,No,17-10-2002,12:34:40,TRUE,1.9,KIBASA,HARLEM,KNUEPPEL,Sat,0.2,Cat,Dark
225,No,25-08-2000,22:38:25,FALSE,1.442,SISSI,LEITH,GURUNG,Tuesday,3.2,,Dark
226,,17-06-1988,22:17:12,TRUE,1.164,BRYANT<,DELILAH,BENOIT,Tuesday,31.2,Dog,Roasted
227,Yes,10-10-1998,19:58:50,TRUE,,NAKIA,SORAE,KRISTO,Sun,40.3,Dog,Roasted
228,No,27-07-1994,14:50:25,TRUE,1.64,MANI,,WRATHMALL,Tuesday,40.6,Snail,Dark
229,,,12:51:16,FALSE,1.817,ATKIN,,LYELL,Thurs,21.7,Cat,Roasted
230,,,9:11:16,TRUE,,TA-LEAH,SAHNJAI,BLORE-WANGANEEN,Monday,44,Elephant,Milk
231,Yes,13-12-1986,16:38:01,TRUE,1.026,MINJIN,,SELBY- FULLGRABE,Thurs,12.7,,Milk
232,,26-05-1986,8:03:01,FALSE,1.986,HAIZHEN,,ZOUZOULAS,Wed,40,Dog,Medium
